occ_dow,occ_year,premises_type,mci_category
Saturday,2014,Apartment,Assault
Saturday,2014,Apartment,Assault
Saturday,2014,Commercial,Break and Enter
Monday,2013,Apartment,Break and Enter
Saturday,2014,Commercial,Assault
Wednesday,2014,Outside,Theft Over
Saturday,2014,Commercial,Robbery
Saturday,2014,Other,Assault
Saturday,2014,Other,Assault
Friday,2014,Outside,Auto Theft
Saturday,2014,House,Auto Theft
Saturday,2014,Commercial,Assault
Friday,2014,House,Break and Enter
Friday,2014,Commercial,Break and Enter
Friday,2014,Commercial,Break and Enter
Friday,2014,Outside,Theft Over
Thursday,2014,House,Break and Enter
Thursday,2014,Commercial,Break and Enter
Saturday,2014,Other,Assault
Saturday,2014,Apartment,Assault
Saturday,2014,Apartment,Assault
Saturday,2014,Commercial,Assault
Saturday,2014,Apartment,Assault
Friday,2014,Outside,Auto Theft
Friday,2013,Outside,Robbery
Friday,2014,Commercial,Break and Enter
Saturday,2014,House,Break and Enter
Saturday,2014,Commercial,Assault
Wednesday,2013,House,Break and Enter
Friday,2014,Outside,Auto Theft
Saturday,2014,Outside,Auto Theft
Saturday,2014,Commercial,Assault
Monday,2013,Commercial,Assault
Saturday,2014,Apartment,Assault
Sunday,2014,House,Break and Enter
Sunday,2014,Outside,Assault
Sunday,2014,Apartment,Assault
Sunday,2014,Outside,Robbery
Sunday,2014,Outside,Assault
Sunday,2014,Outside,Assault
Sunday,2014,Outside,Assault
Sunday,2014,House,Assault
Saturday,2014,House,Break and Enter
Saturday,2014,House,Assault
Sunday,2014,Commercial,Break and Enter
Saturday,2013,Apartment,Break and Enter
Sunday,2014,House,Assault
Sunday,2014,Apartment,Assault
Sunday,2014,Outside,Robbery
Sunday,2014,Transit,Assault
Sunday,2014,Outside,Assault
Sunday,2014,Commercial,Assault
Sunday,2014,Commercial,Assault
Sunday,2014,Outside,Robbery
Thursday,2013,Apartment,Break and Enter
Sunday,2014,Outside,Assault
Sunday,2014,Commercial,Assault
Sunday,2014,Apartment,Assault
Sunday,2014,Apartment,Assault
Sunday,2014,Apartment,Assault
Sunday,2014,Outside,Assault
Sunday,2014,Commercial,Assault
Sunday,2014,Outside,Assault
Sunday,2014,Apartment,Assault
Sunday,2014,House,Assault
Sunday,2014,House,Assault
Sunday,2014,Outside,Auto Theft
Sunday,2014,House,Auto Theft
Sunday,2014,Apartment,Assault
Sunday,2012,House,Assault
Sunday,2014,House,Assault
Sunday,2014,Commercial,Break and Enter
Sunday,2014,House,Assault
Saturday,2014,Outside,Auto Theft
Sunday,2014,House,Break and Enter
